    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    1035        6497.8     1.0635   5.908E+00   1.4000   0.1782   3.990E-17   4.78892789E+00   1.17905896E+01
    1040       6526.94     0.7462   5.838E+00   1.4000   0.1674   3.990E-17   4.78823473E+00   1.17861962E+01
    1045       6551.66     1.0897   5.782E+00   1.4000   0.1654   3.990E-17   4.78765158E+00   1.17829544E+01
    1050       6579.95     0.7411   5.572E+00   1.4000   0.1523   4.056E-17   4.78699028E+00   1.17790910E+01
    1055       6605.51     1.0995   5.524E+00   1.4000   0.1495   4.077E-17   4.78639849E+00   1.17753220E+01
    1060       6633.74     0.7459   5.698E+00   1.4000   0.1480   4.077E-17   4.78575043E+00   1.17707510E+01
    1065          6660     0.7375   5.776E+00   1.4000   0.1526   4.293E-17   4.78515271E+00   1.17666710E+01
    1070       6689.46     1.0948   6.068E+00   1.4000   0.1586   4.001E-17   4.78448683E+00   1.17619310E+01
    1075          6720     0.7488   6.492E+00   1.4000   0.1730   3.816E-17   4.78380141E+00   1.17570387E+01
    1080       6752.24     1.0770   6.261E+00   1.4000   0.1821   4.250E-17   4.78308247E+00   1.17518854E+01
    1085          6780     0.8451   6.014E+00   1.4000   0.1549   4.163E-17   4.78246714E+00   1.17480966E+01
    1090       6810.12     1.1210   6.063E+00   1.4000   0.1630   3.990E-17   4.78180256E+00   1.17441900E+01
    1095          6840     0.7479   6.005E+00   1.4000   0.1586   4.163E-17   4.78114561E+00   1.17405088E+01
    1100       6870.32     1.0902   6.054E+00   1.4000   0.1607   4.467E-17   4.78048059E+00   1.17366183E+01
    1105          6900     0.6899   6.096E+00   1.4000   0.1573   5.117E-17   4.77983043E+00   1.17326923E+01
    1110       6930.89     1.0825   6.265E+00   1.4000   0.1617   3.990E-17   4.77915394E+00   1.17282698E+01
    1115          6960     0.7275   6.422E+00   1.4000   0.1691   3.946E-17   4.77851674E+00   1.17242117E+01
    1120       6991.72     1.1219   6.324E+00   1.4000   0.1729   3.990E-17   4.77782217E+00   1.17198421E+01
    1125          7020     0.7358   6.352E+00   1.4000   0.1673   3.469E-17   4.77720264E+00   1.17165291E+01
    1130       7051.77     1.1122   6.396E+00   1.4000   0.1676   3.946E-17   4.77650703E+00   1.17129282E+01
    1135          7080     0.8051   6.517E+00   1.4000   0.1691   3.990E-17   4.77588927E+00   1.17097752E+01
    1140        7112.6     1.0802   6.523E+00   1.4000   0.1622   3.751E-17   4.77517706E+00   1.17054243E+01
    1145          7140     0.7256   6.399E+00   1.4000   0.1585   3.936E-17   4.77457933E+00   1.17013648E+01
    1150       7172.13     1.0982   6.467E+00   1.4000   0.1774   3.643E-17   4.77387901E+00   1.16962203E+01
    1155          7200     0.7296   6.386E+00   1.4000   0.1921   3.990E-17   4.77327100E+00   1.16917973E+01
