    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     955       10371.4     0.2189   8.613E+00   1.3465   0.3056   2.711E-17   4.71344241E+00   1.15610228E+01
     960       10415.5     0.3836   8.728E+00   1.4000   0.3196   2.862E-17   4.71225842E+00   1.15601977E+01
     965       10457.4     0.3845   8.683E+00   1.4000   0.3334   2.635E-17   4.71113587E+00   1.15598709E+01
     970         10500     0.2029   8.795E+00   1.4000   0.3381   2.776E-17   4.71000100E+00   1.15594856E+01
     975       10544.3     0.4000   9.006E+00   1.4000   0.3246   2.532E-17   4.70882580E+00   1.15588179E+01
     980       10587.2     0.3866   8.939E+00   1.4000   0.3101   2.841E-17   4.70769087E+00   1.15579927E+01
     985         10629     0.3957   8.641E+00   1.4000   0.3171   2.754E-17   4.70658763E+00   1.15565101E+01
     990       10672.4     0.2243   7.581E+00   1.2082   0.2605   2.570E-17   4.70543701E+00   1.15532178E+01
     995         10715     0.4151   8.871E+00   1.4000   0.3077   3.133E-17   4.70430933E+00   1.15478075E+01
    1000       10757.9     0.3945   9.094E+00   1.4000   0.3281   2.732E-17   4.70317482E+00   1.15404902E+01
    1005         10800     0.2007   9.340E+00   1.4000   0.3339   2.906E-17   4.70206556E+00   1.15323824E+01
